section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Chowking,3.2,(6),₱,Fast Food,3F,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,Temporarily closed
High Blood Station,3.8,(74),,Fast Food,San Roque St,Fast-food chain with Filipino flavors,Open until 2:00 am,Delivery,
Chowking,3.7,(7),₱,Fast Food,"Grandmall Basak, Maximo V. Patalinghug Jr. Avenue",Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery,
Chowking,3.3,(12),₱,Fast Food,"G/F, Parkmall, J. Luna Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Thirsty,4.8,(4),,Fast Food,"1st Floor, Parkmall, Ouano Avenue",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Closed
Cebu's Original Lechon Belly,3.8,(26),,Fast Food,"SM City, Pope John Paul II Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Mr Lim Tea Bar And Fastfoods,3.7,(27),,Restaurant,66 Colon St,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery · Takeaway,
Jollibee Bulacao,4.1,(565),₱,Fast Food,Cebu S Rd,Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery · Takeaway,Temporarily closed
Sizzling Plate,3.5,(4),,Fast Food,"SM Seaside, SRP Mambaling Road Cor CSCR",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Mang Inasal,3.7,(294),₱,Fast Food,2 General Maxilom Ave,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Chowking,3.9,(234),₱,Fast Food,"Chatswood Residences, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,Temporarily closed
Chowking,3.2,(13),₱,Fast Food,"G/F Gaisano Grand Mall of Mactan, Basak corner Agus Road, Lapu Lapu City Cebu",Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,
Jollibee,4.0,(359),₱,Fast Food,693 M. L. Quezon Ave,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Mang Inasal,3.7,(54),₱,Fast Food,"SM City Cebu, Juan Luna Ave Ext",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Orange Brutus,3.5,(8),,Fast Food,"Plaza Margarita, Sandayong",Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery,
Sugbahan,4.0,(1),,Fast Food,"Robinsons Place Cebu, Fuente Osmeña Boulevard, Sta. Cruz",Iconic fast-food burger & fries chain,Open until 1:30 am,Delivery · Takeaway,
Ginabot sa Pardo,4.3,(44),,Fast Food,"cor. Dacalos and, J Tabura St",Fast-food chain with Filipino flavors,Open until 9:00 pm,,
Cebu's Original Lechon Belly,4.7,(6),,Fast Food,"Parkmall Al Fresco 4, Mantawe Avenue",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Orange Brutus,3.0,(2),,Fast Food,,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
McDonald's,4.1,(534),₱,Fast Food,Cebu N Rd,Iconic fast-food burger & fries chain,Closing soon: 5:00 pm,Delivery · Takeaway,
East Ocean Seafood Restaurant,3.2,(6),,Fast Food,J.Panis Street,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,Temporarily closed
Cebu's Original Lechon Belly,4.0,(78),,Fast Food,Park Mall Ouano Avenue,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery · Takeaway,
Andok's,3.1,(17),,Fast Food,,Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery,Temporarily closed
Chowking,3.7,(367),₱,Fast Food,"G/F Cinco Centrum, Fuente Osmeña Cir",Quick stop for familiar Chinese fare,Open until 8:00 pm,Takeaway,Closed
Chowking,4.0,(56),₱,Fast Food,"Level 1, Gaisano Grandmall Liloan, National Highway, Poblacion",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
해피투게더,4.3,(35),,Fast Food,"E-Zone, F. Cabahug St",Fast-food chain with Filipino flavors,Open until 12:30 am,Delivery,
KFC Parkmall,3.7,(75),₱,Fast Food,168 Park Mall Dr,Fast-food fried chicken chain,Open until 10:00 pm,Delivery,
Andoks,4.0,(86),,Fast Food,"Mabolo, M. J. Cuenco Avenue, 6000, Cebu City, Cebu",Fast-food fried chicken chain,Open until 6:00 pm,Delivery,Temporarily closed
Chowking,4.0,(10),₱,Fast Food,"G/F Pacific Mall Mandaue, Estancia-Ibabaw, Mandaue City",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
KFC E Bloc 3,3.9,(50),₱,Fast Food,"eBloc 3 Tower, Stall 109 Level 1, G/F",Fast-food fried chicken chain,Open until 10:00 pm,Delivery · Takeaway,
ArmyNavy Burger + Burrito,4.2,(16),₱₱,Fast Food,"Ayala Center, 176 Archbishop Reyes Ave",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Temporarily closed
The Burger Joint,4.5,(721),,Hamburger,"The Gallery, Pope John Paul II Avenue, Golam Dr",Korean fried chicken specialist,Open until 6:00 pm,Delivery,
KFC Redemptorist,3.8,(141),₱,Fast Food,"Redemptorist Plaza, 15-C Queen's Rd",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
