section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,section-result-info 2,e0HygkTYhQy__attribute-content
Hi-Flyers Food Incorporated,Fast Food,4.3,(200),,"3rd Floor, Paseo Verde, Archbishop Reyes Avenue, Cebu Business Park",Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
Chowking,Fast Food,3.7,(367),₱,"G/F Cinco Centrum, Fuente Osmeña Cir",Quick stop for familiar Chinese fare,Open until 8:00 pm,,Delivery · Takeaway
Mang Inasal,Fast Food,4.4,(10),,"Grandmall Basak, Maximo V. Patalinghug Jr. Avenue",Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery · Takeaway
Sinangag Station,Fast Food,3.9,(37),,,Fast-food chain with Filipino flavors,,Open until 10:00 pm,Delivery
Chowking,Fast Food,4.8,(5),₱,"Level 1, Cebu Cyberzone Filinvest, Geonzon St. corner Salinas Drive,",Fast-food chain with Filipino flavors,Open until 6:00 pm,Temporarily closed,Delivery
"Quest Restaurants, Incorporated",Fast Food,4.3,(6),,"Basement 1, Quest Hotel Cebu, J. Solon Drive",Fast-food chain with Filipino flavors,Temporarily closed,Open until 10:00 pm,Delivery
Chowking,Fast Food,3.9,(234),₱,"Chatswood Residences, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 7:00 pm,,Delivery
Cebu's Original Lechon Belly,Fast Food,4.5,(13),,"Gov M. Cuenco, Banilad",Fast-food chain for grilled burgers,Open until 10:00 pm,Closed,Delivery · Takeaway
Cebu's Original Lechon Belly,Fast Food,4.0,(78),,Park Mall Ouano Avenue,Fast-food chain with Filipino flavors,Open until 11:30 pm,,Delivery · Takeaway
Wild Rice Food Express,Fast Food,5.0,(4),,"13, St. John Road, Sacred Heart Village Banawa",Fast-food chain with Filipino flavors,Closed,Opens at 4:00 pm,Delivery
Dimsum Break,Fast Food,4.0,(27),₱₱,168 Park Mall Dr,Fast-food chain with Filipino flavors,Open until 11:00 pm,,Delivery
Yan Q Barbecue,Fast Food,3.7,(9),,Bang-bang road Gaisano Grandmall Cordova LLC,Fast-food chain with Filipino flavors,Open until 8:00 pm,Temporarily closed,Delivery
Orange Brutus,Fast Food,3.8,(50),,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Iconic fast-food burger & fries chain,,,Delivery · Takeaway
Jollibee,Fast Food,4.1,(160),₱,A. Del Rosario St,Fast-food chain with Filipino flavors,,Open until 10:00 pm,Delivery
Wanna Eat,Fast Food,3.4,(16),,"Cebu IT Park, Jose Maria del Mar St",Fast-food chain with Filipino flavors,Open until 1:30 am,,Delivery
Jollibee A.S. Fortuna,Fast Food,4.2,(204),₱,A. S. Fortuna St,Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
Island Grill,Fast Food,3.0,(1),,"SM City Cebu, Food Court, Lower Ground",Fast-food chain with Filipino flavors,Open until 9:00 pm,Temporarily closed,Delivery
Jollibee,Fast Food,4.2,(165),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Temporarily closed,,Delivery
VINCENT STORE,Fast Food,3.0,(1),,,Quick stop for familiar Chinese fare,Opens at 6:00 am,Closed,Delivery
Jollibee,Fast Food,4.1,(119),₱,"ayala center cebu, 3rd Floor, Paseo Verde, Archbishop Reyes Ave",Fast-food chain with Filipino flavors,Open until 10:00 pm,,Delivery · Takeaway
Shawarma Town,Fast Food,4.3,(200),,"Level 2, Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park, Cebu",Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
Chowking,Fast Food,3.8,(78),₱,G/F Gaisano Mactan,Quick stop for familiar Chinese fare,Open until 8:00 pm,Temporarily closed,Delivery · Takeaway
Breakfast Club,Fast Food,4.7,(6),,"Asiatown-It Park, Lahug",Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery · Takeaway
Cebu's Orignal Lechon Belly,Fast Food,4.1,(15),,"Gaisano Grand Mall, Gov. M. Cuenco Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Chowking,Fast Food,4.0,(32),,"Marina Mall, M.L. Quezon National Highway",Quick stop for familiar Chinese fare,Temporarily closed,Open until 6:00 pm,Delivery
Sunburst,Fast Food,4.3,(6),,"R.C.A.C, Legasspi St.",Fast-food chain with Filipino flavors,Open until 9:00 pm,Temporarily closed,Delivery
Jollibee,Fast Food,3.6,(31),₱,"Level 1, Geonzon St, Salinas Dr",Fast-food chain with Filipino flavors,,Open until 7:00 pm,Delivery
McDonald's,Fast Food,5.0,(1),₱,"Gaisano Fiesta Mall, South National Highway",Iconic fast-food burger & fries chain,Open until 9:00 pm,Closed,Delivery · Takeaway
Jollibee - Basak Mactan,Fast Food,4.1,(493),₱,Basak,Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Chowking,Fast Food,3.2,(6),₱,3F,Fast-food chain with Filipino flavors,Opens at 4:00 pm,Temporarily closed,Delivery
Jollibee,Fast Food,3.8,(111),₱,"i2 Bldg, Jose Maria del Mar St",Fast-food chain with Filipino flavors,,Open until 11:00 pm,Delivery
Sinagol,Fast Food,3.7,(9),,,Fast-food chain with Filipino flavors,Temporarily closed,Open until 8:00 pm,Delivery
New White Gold House Restaurant,Fast Food,4.1,(52),,6000 G. Gaisano St,Iconic fast-food burger & fries chain,,,Delivery · Takeaway
Mang Inasal,Fast Food,4.0,(43),₱,"138 Mall, 088 Colon St",Fast-food chain with Filipino flavors,Open until 8:00 pm,,Delivery
KFC,Fast Food,3.8,(36),,"Upper Ground Floor, SM City Juan Luna Ave. Cor. Kaoshiung St, 6000 F. Cabahug St",Fast-food fried chicken chain,Open until 9:00 pm,,Delivery
Jollibee Robinsons Cybergate,Fast Food,4.2,(40),₱,"Robinsons Cybergate, 1st Floor, Don Gil Garcia St",Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
MyJoy,Fast Food,3.8,(28),,10 Apitong St,Fast-food chain with Filipino flavors,Open until 10:00 pm,Temporarily closed,Delivery
Orange Brutus,Fast Food,3.3,(3),,"Super Metro Colon Building, Colon Corner Junquera Street",Fast-food chain with Filipino flavors,Open until 9:00 pm,Temporarily closed,Delivery
Jollibee Guadalupe,Fast Food,4.1,(688),₱,R. Duterte St,Fast-food chain with Filipino flavors,Closed,Opens at 6:00 am,Delivery
Angel's Burger,Fast Food,3.0,(8),,37 Sampaguita St,Fast-food chain with Filipino flavors,,Open until 10:00 pm,Delivery · Takeaway
Chowking - SM City Cebu,Fast Food,5.0,(1),,Unnamed Road,Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
Ginabot sa Pardo,Fast Food,4.3,(44),,"cor. Dacalos and, J Tabura St",Quick stop for familiar Chinese fare,Open until 9:00 pm,Temporarily closed,Delivery · Takeaway
Jollibee Gorordo,Fast Food,4.1,(227),₱,"Gorordo corner, General Maxilom Ave",Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
RC Restoderia,Fast Food,4.1,(15),,Juan Luna Avenue Extension,Fast-food chain with Filipino flavors,,Open until 9:00 pm,Delivery
