section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-cost,section-result-description,e0HygkTYhQy__content,section-result-info 2
Blu Bar & Grill,4.3,(337),,Grill,"Marco Polo Plaza Cebu, Cebu Veterans Dr",,Open until 12:00 am,,
Puesto Restaurant,4.7,(9),,Restaurant,"The Greenery, Pope John Paul II Ave",,Open until 12:00 am,Delivery · Takeaway,
Bonchon Chicken,4.1,(118),₱₱,Chicken,"Ayala Center Cebu, Bohol Ave, The Terraces",,Closing soon: 10:30 pm,Delivery,Korean fried chicken specialist
Wild Wings Kitchen,4.0,(8),,Restaurant,"Go Home Bldg, 6000, 341 F. Cabahug St",,Open until 2:00 am,12 of the Best Restaurants in Cebu You’ll Only Find There,
Andiana's Restaurant,3.3,(4),,Restaurant,F. Cabahug St,,Open until 5:00 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Dimsum Break,3.9,(174),₱₱,Dim Sum,"G/F North Arcade, Banilad Town Centre, Gov. M. Cuenco Ave",Closing soon: 10:00 pm,Temporarily closed,Delivery,
Bonifacio District & Faustina Center,4.3,(506),,Business center,F. Cabahug St,,Open until 1:00 am,Delivery · Takeaway,Fast-food chain with Filipino flavors
Izakaya Goku,3.8,(56),,Japanese,"Gagfa Building, F. Cabahug St",,Closing soon: 10:00 pm,Delivery,
S&R New York Style Pizza,4.2,(225),₱₱,Pizza,Cardinal Rosales Ave,,Open until 11:00 pm,Delivery,
Dagdaks Bar and Restaurant,5.0,(2),,Restaurant,"City Time Square Building, Mantawe Ave",,Open until 12:00 am,,
DDC Chicken Amiga Restaurant,4.1,(46),,Restaurant,A. S. Fortuna St,Temporarily closed,Open until 1:00 am,Takeaway,
Turks,3.8,(11),,Restaurant,"Skyrise 1, I. Villa St",Open until 12:00 am,,Delivery,Casual pizza chain with a kids' fun zone
Phat Pho,4.3,(6),,Restaurant,Crossroads Mall,,Closing soon: 10:00 pm,"""The price is a bit high compare to other Philipino restaurant.""",
知暮里 NEW CHIBORI JAPANESE RESTAURANT,3.8,(57),,Restaurant,Jose Maria del Mar St,,Closing soon: 10:30 pm,Delivery,Iconic fast-food burger & fries chain
"Vikings Luxury Buffet, SM City Cebu",4.4,"(1,946)",₱₱₱,Buffet,"2nd Floor, SM City Cebu- North Wing, Juan Luna Extension",,Closing soon: 10:00 pm,Delivery,
Ocean star seafood restaurant,4.7,(3),,Restaurant,7 Pope John Paul II Ave,,Closing soon: 10:00 pm,Takeaway,
Charred Bar & Grill,4.2,(19),,Restaurant,408f Singson Rd,,Closing soon: 10:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Feria,4.4,(305),,Filipino,"Radisson Blu Hotels and Resorts, Sergio Osmena Boulevard, Corner Juan Luna Avenue",,Closing soon: 10:30 pm,A Healthy Food Trip in Cebu: 5 Must-Try Vegan & Vegetarian Restaurants,
Don Harubang Korean Restaurant,3.8,(33),,Korean,,,Open until 4:00 am,,
No 9 Restaurant,4.1,(102),,Restaurant,9 E Benedicto St,Temporarily closed,Open until 12:00 am,Takeaway,
Yakski Barbecue,4.3,(667),₱,Barbecue,268 Don Mariano Cui St,,Open until 12:00 am,,
Bervee's Bistro,4.7,(27),,Restaurant,Filimon Sotto Dr,,Open until 12:00 am,Delivery · Takeaway,
Jollibee A.S. Fortuna,4.2,(204),₱,Fast Food,A. S. Fortuna St,Closing soon: 10:30 pm,,Delivery,Fast-food chain with Filipino flavors
Orange Brutus,3.8,(50),,Fast Food,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Open until 2:00 am,,12 of the Best Restaurants in Cebu You’ll Only Find There,
Todam,3.7,(65),,Korean,"GF , Ezone Commercial Complex, K. Cabahug Street , 6000 Cebu City , Cebu",,Closing soon: 10:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Boosog Lasang Pinoy,4.1,(264),,Filipino,Juana Osmeña St,Temporarily closed,Closing soon: 10:00 pm,Delivery,
Gerry's Grill - Ayala Cebu,3.8,"(1,086)",₱₱,Filipino,2/F Cardinal Rosales Avenue Arch Bishop Reyes Street,,Open until 11:00 pm,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Iki Drum Yakiniku Restaurant,4.3,(126),,Restaurant,,,Open until 11:00 pm,Delivery,
Han-nya Japanese Restaurant,4.0,(140),₱₱,Japanese,"Hotel Asia, 11 Don Jose Avila Street, Capitol Site, Cebu City, 6000, Cebu",Open until 11:00 pm,,Delivery,
bai Hotel Cebu,4.6,"(4,181)",,3-star hotel,,Open until 12:00 am,,,Refined lodging with a rooftop pool
Colorful Caf'e,3.5,(21),,Rice restaurant,"G/F Calyx Centre, Abad St",Temporarily closed,Open until 11:30 pm,Takeaway,
Master Po,4.3,(178),,Chinese,"Unit 9 Plaza Nouvlle, E., E Benedicto St",,Closing soon: 10:00 pm,Delivery,Casual pizza chain with a kids' fun zone
KFC Parkmall,3.7,(75),₱,Restaurant,168 Park Mall Dr,,Closing soon: 10:00 pm,Delivery,Fast-food fried chicken chain
Big Tom's Charbroiled Burger,4.4,(103),,Restaurant,A. S. Fortuna St,Closed,Opens at 11:00 am,Delivery,Iconic fast-food burger & fries chain
Soho Park | Cafe & Restaurant,4.2,(226),₱₱,Restaurant,"Asia Premier Residences, Ground Floor, Abad St",Closing soon: 10:00 pm,,Delivery · Takeaway,Modern cafe for global comfort cooking
Southside Chicken Wings,4.5,(208),₱,Restaurant,"San Antonio Village, 8 Jumabon St",Closed,Opens at 10:30 am,Takeaway,
Tymad Bistro,4.6,(226),₱₱,French,Paseo Saturnino,Closed today,Closing soon: 10:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Hamakaze Ramen,4.5,(238),,Ramen,"AYS Building, A. S. Fortuna St",Closed,Opens at 11:00 am,A Healthy Food Trip in Cebu: 5 Must-Try Vegan & Vegetarian Restaurants,
Abaseria Deli & Cafe,4.5,(191),₱₱,Restaurant,32 Pres. Quirino St,Closed,Opens at 9:00 am,,
Somac Korean Restaurant,4.4,(411),₱₱,Korean,Pope John Paul II Ave,Closed,Opens at 10:00 am,Takeaway,
Chateau de Busay Inn & Restaurant,4.4,(432),,Restaurant,"Lower Busay Nivel Hills, Cebu Transcentral Hwy",Open until 12:00 am,,,
House of Lechon,4.6,(11),,Filipino,"Dona Carmen Building, 6000, Gov. M. Cuenco Ave",Closed,Opens at 7:00 am,Delivery · Takeaway,
Crazy Crab,3.9,(649),₱₱,Seafood,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closed,Opens at 11:00 am,Delivery,Fast-food chain with Filipino flavors
WATDA PHO,4.1,(73),,Vietnamese,"Go Home Bldg, 341 F. Cabahug St",Open until 2:00 am,,12 of the Best Restaurants in Cebu You’ll Only Find There,
Mr. Griddle,4.2,(105),₱₱,Hamburger,Banilad Rd,Closed,Opens at 11:00 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
STREET YARD,4.5,(80),,Restaurant,"Park Mall, A1 Ouano Avenue",Closing soon: 10:00 pm,Temporarily closed,Delivery,
Lemon Grass Restaurant,4.1,(203),,Asian,"ayala center cebu, Level 1, The Terraces",Open until 11:00 pm,,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Crystal Palace Sze Chuan Chinese Restaurant,4.3,(126),,Restaurant,6000,Open until 11:00 pm,,Delivery,
Max's Restaurant,4.0,(88),₱₱,Filipino,,Open until 11:00 pm,,Delivery,Chain eatery for Filipino fried chicken
Woori Bistro,4.2,(18),,Restaurant,"Unit 111, Arcada 5 Bldg",Closed,Opens at 10:30 am,,Refined lodging with a rooftop pool
Goong Korean Restaurant,4.4,(22),,Korean,"Ground Floor, Chatswood Residences, A. S. Fortuna St",Open until 11:30 pm,Temporarily closed,Takeaway,
Rico's Lechon - Mandaue,4.0,(134),₱₱,Restaurant,Mantawe Ave,,Closing soon: 10:00 pm,Delivery,Casual pizza chain with a kids' fun zone
Casa Verde,4.2,"(1,060)",₱₱,Restaurant,69 Lim Tian Teng,,Closing soon: 10:00 pm,Delivery,Fast-food fried chicken chain
A Taste Of Mandarin,4.2,(5),,Chinese,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closed,Opens at 8:00 am,Delivery,Iconic fast-food burger & fries chain
Hai Shin Lou Cantonese Restaurant,4.5,(89),,Restaurant,,Closing soon: 10:00 pm,,Delivery · Takeaway,Modern cafe for global comfort cooking
Tao Yuan Seafood Restaurant,4.1,(302),,Chinese,"Second Level, JCentre Mall, 165 A. S. Fortuna St",Closed,Opens at 10:00 am,Takeaway,
Zubuchon,3.9,(873),₱₱,Restaurant,"One Mango Mall, General Maxilom Ave",Closed today,Open until 11:00 pm,Delivery · Takeaway,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Hamakaze Ramen,4.5,(238),,Ramen,"AYS Building, A. S. Fortuna St",Closed,Opens at 11:00 am,A Healthy Food Trip in Cebu: 5 Must-Try Vegan & Vegetarian Restaurants,
Abaseria Deli & Cafe,4.5,(191),₱₱,Restaurant,32 Pres. Quirino St,Closed,Opens at 9:00 am,,
Somac Korean Restaurant,4.4,(411),₱₱,Korean,Pope John Paul II Ave,Closed,Opens at 10:00 am,Takeaway,
Chateau de Busay Inn & Restaurant,4.4,(432),,Restaurant,"Lower Busay Nivel Hills, Cebu Transcentral Hwy",Open until 12:00 am,,,
House of Lechon,4.6,(11),,Filipino,"Dona Carmen Building, 6000, Gov. M. Cuenco Ave",Closed,Opens at 7:00 am,Delivery · Takeaway,
Crazy Crab,3.9,(649),₱₱,Seafood,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closed,Opens at 11:00 am,Delivery,Fast-food chain with Filipino flavors
WATDA PHO,4.1,(73),,Vietnamese,"Go Home Bldg, 341 F. Cabahug St",Open until 2:00 am,,12 of the Best Restaurants in Cebu You’ll Only Find There,
Mr. Griddle,4.2,(105),₱₱,Hamburger,Banilad Rd,Closed,Opens at 11:00 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
STREET YARD,4.5,(80),,Restaurant,"Park Mall, A1 Ouano Avenue",Closing soon: 10:00 pm,Temporarily closed,Delivery,
Lemon Grass Restaurant,4.1,(203),,Asian,"ayala center cebu, Level 1, The Terraces",Open until 11:00 pm,,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Crystal Palace Sze Chuan Chinese Restaurant,4.3,(126),,Restaurant,6000,Open until 11:00 pm,,Delivery,
Max's Restaurant,4.0,(88),₱₱,Filipino,,Open until 11:00 pm,,Delivery,Chain eatery for Filipino fried chicken
Arira Bulgogi Korean Restaurant,3.3,(45),,Restaurant,Foodland Banilad-Talamban Flyover,Closed,Open until 11:00 pm,,Refined lodging with a rooftop pool
Mizu Japanese Restaurant,4.0,(12),,Japanese,"Waterfront Cebu City Hotel Lahug, Archbishop Reyes Avenue",Open until 11:30 pm,Temporarily closed,Takeaway,
El Viento Restaurant and Pool Bar,4.4,(16),,Restaurant,"GF, Marco Polo Plaza Cebu, Cebu Veterans Dr",Closing soon: 10:00 pm,,Delivery,Casual pizza chain with a kids' fun zone
First 5 Sports Lounge & Cafe,4.4,(68),,Restaurant,"Go Home Bldg, 341 F. Cabahug St",Closing soon: 10:00 pm,,Delivery,Fast-food fried chicken chain
Dimsum Break - Drive Thru,3.0,(1),,Chinese Takeout,,Opens at 8:00 am,Closed,Takeaway,Iconic fast-food burger & fries chain
Antonio's Seafood Grill - Cebu,4.5,(89),,Seafood,"Gaisano Country Mall, Mandaue City, Cebu",Closing soon: 10:00 pm,,Delivery · Takeaway,Modern cafe for global comfort cooking
Handuraw Pizza JY Square,4.3,(84),,Pizza,JY Square IT Center,Closed,Opens at 11:00 am,Takeaway,
WR Kitchenette,4.0,(2),,Restaurant,Gov. M. Cuenco Ave,Closed,Opens at 6:00 am,Delivery · Takeaway,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Noh - Eul,4.5,(238),,Korean,"M-1, Northgate Centre, Governon Cueco Ave.",Closed,Opens at 9:00 am,A Healthy Food Trip in Cebu: 5 Must-Try Vegan & Vegetarian Restaurants,
Dimsum Break IT Park,3.7,(91),₱₱,Dim Sum,,Opens at 9:00 am,Closed,,
Party Rang Korean Restaurant,4.4,(411),,Korean,,Opens at 10:00 am,Closed,Takeaway,
Cebus Best,4.4,(432),,Takeout Restaurant,Gov. M. Cuenco Ave,Open until 12:00 am,,Takeaway,
Abuhan Restaurant - Mango,4.2,(104),,Filipino,"Ground Floor Mango Square Mall, General Maxilom Ave",Closed,Open until 4:00 am,Delivery · Takeaway,
Oceanarium Restaurant,3.5,(2),,Restaurant,"Rainforest Park Cebu, Panagdait, Mabolo, Cebu City, Cebu",Opens at 11:00 am,Closed,Delivery,Fast-food chain with Filipino flavors
Birdseed Restaurant Subangdaku,1.0,(1),,Restaurant,,Opens at 11:00 am,Closed,12 of the Best Restaurants in Cebu You’ll Only Find There,
Min Yue Restaurant,4.2,(14),,Restaurant,,Closed,Opens at 9:30 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Sialo,4.5,(6),,Restaurant,F. Sotto St. Villa Aurora Subdivision Bgy.,Opens at 5:00 am,Closed,Takeaway,
Mhins Crispy Chicken,4.1,(203),,Takeout Restaurant,Sitio Ibaan J. Panis St,Closed,Opens at 6:00 am,Takeaway,"Grilled meats, seafood & Filipino plates"
Flame It Burgers And Sausages,4.3,(13),,Takeout Restaurant,Pope John Paul II Ave,Opens at 7:00 am,Closed,Takeaway,
Ilaputi,4.1,(88),,Asian,"Axis Entertainment Avenue at Vibo Place, N. Escario St.",Closed,Opens at 10:00 am,Delivery,Chain eatery for Filipino fried chicken
Royal Krua Thai,3.7,(37),,Thai,"G/F North Arcade, Banilad Town Center, Gov. M. Cuenco Ave",Open until 11:00 pm,Closed,,Refined lodging with a rooftop pool
Rusty's Chicken & Shrimp,3.5,(23),,Restaurant,Gaisano Country Mall,Closed,Opens at 11:00 am,Takeaway,
Shanks,4.0,(1),,Takeout Restaurant,,Closing soon: 10:00 pm,,Takeaway,Casual pizza chain with a kids' fun zone
Marble + Grain Steakhouse,4.3,(29),,Steak,"Ouano Ave, cor C.D.Seno",,Closing soon: 10:00 pm,Delivery,Fast-food fried chicken chain
Diamond Tongs Restaurant,3.9,(367),,Buffet,F. Cabahug St,Opens at 8:00 am,Closed,Takeaway,Iconic fast-food burger & fries chain
Gerry's Grill - Robinsons Galleria Cebu,4.1,(77),₱₱,Filipino,General Maxilom Ave Ext,Temporarily closed,Closing soon: 10:00 pm,Delivery · Takeaway,Modern cafe for global comfort cooking
Olio Restaurant Lounge,4.3,(84),,Restaurant,Gov. M. Cuenco Ave,Opens at 11:00 am,Closed,Takeaway,
Greenwich,4.1,(175),₱₱,Pizza,"LEVEL 1 RAINTREE MALL, GEN. MAXILOM AVENUE",Closed,Open until 1:00 am,Delivery · Takeaway,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Sachi - Authentic Japanese Ramen and Okonomiyaki,4.4,(57),,Japanese,,Closed,Opens at 11:00 am,A Healthy Food Trip in Cebu: 5 Must-Try Vegan & Vegetarian Restaurants,
Eureka Cafe & Bistro by L'Artisan,4.1,(60),,Restaurant,"Mendezona, 80 F. Ramos St",Closed,Closing soon: 10:00 pm,Takeaway,
ALJ Crispy Chicken Haus,4.4,(411),,Restaurant,,Closed,Opens at 9:00 am,Takeaway,
Patrice Eatery,5.0,(1),,Restaurant,J. Panis St,Closed,Opens at 5:00 am,Takeaway,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,Delivery · Takeaway,
Oceanarium Restaurant,3.5,(2),,Restaurant,"Rainforest Park Cebu, Panagdait, Mabolo, Cebu City, Cebu",Opens at 11:00 am,Closed,Delivery,Fast-food chain with Filipino flavors
Birdseed Restaurant Subangdaku,1.0,(1),,Restaurant,,Opens at 11:00 am,Closed,12 of the Best Restaurants in Cebu You’ll Only Find There,
Min Yue Restaurant,4.2,(14),,Restaurant,,Closed,Opens at 9:30 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Sialo,4.5,(6),,Restaurant,F. Sotto St. Villa Aurora Subdivision Bgy.,Opens at 5:00 am,Closed,Takeaway,
Mhins Crispy Chicken,4.1,(203),,Takeout Restaurant,Sitio Ibaan J. Panis St,Closed,Opens at 6:00 am,Takeaway,"Grilled meats, seafood & Filipino plates"
Flame It Burgers And Sausages,4.3,(13),,Takeout Restaurant,Pope John Paul II Ave,Opens at 7:00 am,Closed,Takeaway,
Ilaputi,4.1,(88),,Asian,"Axis Entertainment Avenue at Vibo Place, N. Escario St.",Closed,Opens at 10:00 am,Delivery,Chain eatery for Filipino fried chicken
Royal Krua Thai,3.7,(37),,Thai,"G/F North Arcade, Banilad Town Center, Gov. M. Cuenco Ave",Open until 11:00 pm,Closed,,Refined lodging with a rooftop pool
Top of Cebu,4.3,"(1,227)",₱₱,Restaurant,Cebu Tops Rd,Closed,Open until 11:00 pm,Takeaway,
Cheavers Fried Grill,4.0,(1),,Restaurant,A. S. Fortuna St,Closing soon: 10:00 pm,,Takeaway,Casual pizza chain with a kids' fun zone
Akita Restaurant,4.3,(29),,Restaurant,"Countrymall, Banilad Rd",Closing soon: 10:00 pm,,Delivery,Fast-food fried chicken chain
Delice Recipe,4.4,(151),,Mediterranean,Cebu Tops Rd,Closed,Open until 11:00 pm,Takeaway,Iconic fast-food burger & fries chain
Riofar Restaurant,4.1,(77),,Restaurant,Gov. M. Cuenco Ave,Closing soon: 10:00 pm,Temporarily closed,Delivery · Takeaway,Modern cafe for global comfort cooking
Restaurant,4.4,(8),,Restaurant,,Opens at 11:00 am,Closed,Takeaway,
Commissary Restaurant Division,4.0,(1),,Restaurant,"Pages Holdings Inc., Gov. M. Cuenco Ave",Closed,Opens at 8:00 am,Delivery · Takeaway,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Have Em All Food Cart Services,4.4,(57),,Takeout Restaurant,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closed,Opens at 8:00 am,Takeaway,
JB Countrymall,3.0,(1),,Restaurant,,Closing soon: 10:00 pm,Closed,Takeaway,
La Tegola,4.0,(78),,Restaurant,,Opens at 9:00 am,Closed,Takeaway,
K-pork Restaurant,3.8,(5),,Restaurant,A. S. Fortuna St,Opens at 5:00 am,Closed,Takeaway,
East Ocean Seafood Restaurant,3.7,(291),,Fast Food,J.Panis Street,Opens at 10:00 am,Closed,Delivery · Takeaway,
Restaurant,4.0,(3),,Restaurant,2 Gov. M. Cuenco Ave,Opens at 11:00 am,Closed,Delivery,Fast-food chain with Filipino flavors
New Tung Yan Restaurant,1.0,(1),,Fast Food,"A.S. Fortuna Street, Banilad",Opens at 11:00 am,Closed,12 of the Best Restaurants in Cebu You’ll Only Find There,
Salinas Resto,4.2,(14),,Restaurant,"Amon Building, Salinas Dr",Opens at 9:30 am,Closed,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Castillo’s Restaurant Cebu,3.0,(1),,Restaurant,E Zone F. Cabahug St,Opens at 5:00 am,Closed,Takeaway,
Snowsheen Restaurant,3.9,(57),,Filipino,Osmeña Blvd,Closed,Closing soon: 10:00 pm,Takeaway,"Grilled meats, seafood & Filipino plates"
Sio Mai Pao,4.3,(13),,Takeout Restaurant,"Gaisano Country Mall, Gov. M. Cuenco Ave",Opens at 7:00 am,Closed,Takeaway,
Family Choice,3.2,(17),,Restaurant,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closed,Opens at 11:00 am,Delivery,Chain eatery for Filipino fried chicken
Scape Skydeck,4.4,(702),₱₱,Restaurant,"Roof Deck, Azon Residences, M.L. Quezon National Highway",Closed,Open until 12:00 am,10 Most Romantic Restaurants in Mactan,Stylish open-air spot for pub fare
Vue Dine & Drink,4.4,(58),₱₱,Restaurant,Quezon 1,Closed,Open until 11:00 pm,Takeaway,
Akita Japanese Restaurant,4.0,(1),,Restaurant,Gaisano Country Mall,Closing soon: 10:00 pm,,Takeaway,Casual pizza chain with a kids' fun zone
Huang Korean Restaurant,4.3,(29),,Restaurant,A. S. Fortuna St,Closing soon: 10:00 pm,,Delivery,Fast-food fried chicken chain
KKD stk+bbq,4.2,(815),₱,Filipino,M. J. Cuenco Ave,Closed,Closing soon: 10:00 pm,Takeaway,Iconic fast-food burger & fries chain
CnT Lechon,4.3,(398),₱₱,Restaurant,V Rama Ave,Closed,Opens at 7:00 am,Delivery · Takeaway,Modern cafe for global comfort cooking
Kudoku Restaurant + Bar,4.6,(7),,Restaurant,301 Pope John Paul II Ave,Opens at 11:00 am,Closed,Takeaway,
Salt Restaurant,4.2,(48),,Seafood,"Door #4, St Patrick Square, R Aboitiz St",Closed,Opens at 9:00 am,Takeaway,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Urban Table,4.3,(4),,Restaurant,"Events Plaza, Radisson Blu Cebu,",Closed,Open until 11:00 pm,Takeaway,
Kyohei Restaurant,4.5,(2),,Restaurant,A. S. Fortuna St,Closing soon: 10:00 pm,Closed,Takeaway,
Misto,2.8,(5),,Restaurant,"Ground Floor, Seda Hotel",Closing soon: 10:00 pm,Closed,Takeaway,
Bharat Spice,3.4,(47),,Restaurant,3 Jose Maria del Mar St,Temporarily closed,Opens at 10:00 am,Dine-in · Delivery · Takeaway,
Café Shang Tea Restaurant,3.8,(99),,Restaurant,A. S. Fortuna St,Closing soon: 10:30 pm,Closed,Delivery · Takeaway,
Greenwich,3.9,(23),₱₱,Pizza,"LEVEL 3 AYALA CENTER CEBU, ARCHBISHOP REYES AVENUE",Closed,Opens at 10:00 am,Delivery,Fast-food chain with Filipino flavors
Kublai Khan Mongolian Restaurant,3.8,(32),,Asian,"Third Floor, The Terraces, Ayala Center Cebu",Opens at 11:00 am,Closed,12 of the Best Restaurants in Cebu You’ll Only Find There,
Sbarro,3.9,(15),,Pizza,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Closed,Opens at 10:00 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Kaiten Ramen + Sushi,3.2,(10),,Authentic Japanese,Streetscape,Closed,Closing soon: 10:00 pm,Takeaway,
Son-Gohan Onigirazu Donburi,3.3,(3),,Authentic Japanese,,Closed,Opens at 7:00 am,Takeaway,"Grilled meats, seafood & Filipino plates"
Yue Rong Xuan,3.2,(12),,Restaurant,"Ground flr, BMD Bldg, Salinas Dr",Closed,Open until 2:00 am,Takeaway,"Grilled meats, seafood & Filipino plates"
Siomai ni papang,5.0,(1),,Restaurant,"greens subdivision, 14,banilad",Opens at 10:00 am,Closed,Delivery,Fast-food chain for grilled burgers
Doris Restaurant,4.8,(4),,Restaurant,,Open until 12:00 am,Closed,10 Most Romantic Restaurants in Mactan,Stylish open-air spot for pub fare
Grillah,3.3,(3),,Grill,M. L. Quezon Ave,Open until 11:00 pm,Closed,Takeaway,
Michaelangelos Pizzaria Restaurant,5.0,(1),,Restaurant,Banilad Rd,Closing soon: 10:00 pm,,Takeaway,Casual pizza chain with a kids' fun zone
Lighthouse Restaurant,4.1,(222),,Restaurant,General Maxilom Ave,Closed,Opens at 11:00 am,Delivery,Fast-food fried chicken chain
Shu Japanese Restaurant,4.5,(4),,Restaurant,Gov. M. Cuenco Ave,Closed today,Closing soon: 10:00 pm,Takeaway,Iconic fast-food burger & fries chain
Butchero Dining,5.0,(1),,Restaurant,8 Wilson St,Closed,Opens at 8:00 am,Delivery · Takeaway,Modern cafe for global comfort cooking
Ocean Garden,3.6,(27),,Seafood,A. S. Fortuna St,Opens at 11:00 am,Closed,Takeaway,
Jonie's Sizzlers + Roast,4.2,(48),,Restaurant,1058 Hernan Cortes St,Opens at 9:00 am,Closed,Takeaway,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Urban Table,4.3,(4),,Restaurant,"Events Plaza, Radisson Blu Cebu,",Closed,Open until 11:00 pm,Takeaway,
Kyohei Restaurant,4.5,(2),,Restaurant,A. S. Fortuna St,Closing soon: 10:00 pm,Closed,Takeaway,
Misto,2.8,(5),,Restaurant,"Ground Floor, Seda Hotel",Closing soon: 10:00 pm,Closed,Takeaway,
Bharat Spice,3.4,(47),,Restaurant,3 Jose Maria del Mar St,Temporarily closed,Opens at 10:00 am,Dine-in · Delivery · Takeaway,
Café Shang Tea Restaurant,3.8,(99),,Restaurant,A. S. Fortuna St,Closing soon: 10:30 pm,Closed,Delivery · Takeaway,
Greenwich,3.9,(23),₱₱,Pizza,"LEVEL 3 AYALA CENTER CEBU, ARCHBISHOP REYES AVENUE",Closed,Opens at 10:00 am,Delivery,Fast-food chain with Filipino flavors
Kublai Khan Mongolian Restaurant,3.8,(32),,Asian,"Third Floor, The Terraces, Ayala Center Cebu",Opens at 11:00 am,Closed,12 of the Best Restaurants in Cebu You’ll Only Find There,
Sbarro,3.9,(15),,Pizza,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Closed,Opens at 10:00 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Kaiten Ramen + Sushi,3.2,(10),,Authentic Japanese,Streetscape,Closed,Closing soon: 10:00 pm,Takeaway,
Son-Gohan Onigirazu Donburi,3.3,(3),,Authentic Japanese,,Closed,Opens at 7:00 am,Takeaway,"Grilled meats, seafood & Filipino plates"
Yue Rong Xuan,3.2,(12),,Restaurant,"Ground flr, BMD Bldg, Salinas Dr",Closed,Open until 2:00 am,Takeaway,"Grilled meats, seafood & Filipino plates"
Siomai ni papang,5.0,(1),,Restaurant,"greens subdivision, 14,banilad",Opens at 10:00 am,Closed,Delivery,Fast-food chain for grilled burgers
Doris Restaurant,4.8,(4),,Restaurant,,Open until 12:00 am,Closed,10 Most Romantic Restaurants in Mactan,Stylish open-air spot for pub fare
Grillah,3.3,(3),,Grill,M. L. Quezon Ave,Open until 11:00 pm,Closed,Takeaway,
Michaelangelos Pizzaria Restaurant,5.0,(1),,Restaurant,Banilad Rd,Closing soon: 10:00 pm,,Takeaway,Casual pizza chain with a kids' fun zone
Lighthouse Restaurant,4.1,(222),,Restaurant,General Maxilom Ave,Closed,Opens at 11:00 am,Delivery,Fast-food fried chicken chain
Opon Republik,4.5,(10),,Restaurant,"Ground Floor Units 23,24,25A, Mactan Town Center, 6015 Basak-Marigondon Rd",Closed today,Closing soon: 10:00 pm,Takeaway,Iconic fast-food burger & fries chain
Gerry's Grill - Mactan,4.1,(138),₱₱,Restaurant,"MEZ 1, M.L. Quezon National High Way, Ibo, Lapu-Lapu",Closed,Closing soon: 10:00 pm,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Kuya J Restaurant,4.0,(165),₱₱,Filipino,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaoshiung St",Closed,Opens at 10:00 am,Takeaway,
