section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-cost,section-result-description,e0HygkTYhQy__content,section-result-info 2
bai Hotel Cebu,4.6,"(4,181)",3-star hotel,,Closing soon: 10:00 pm,,Refined lodging with a rooftop pool,,
100 Years Korean Barbeque & Restaurant,4.6,(20),Korean BBQ,Unnamed Road,Open until 11:00 pm,,,Delivery · Takeaway,
Blue Elephant,4.3,(919),Lounge,"AppleOne Equicom Tower, Mindanao Ave",Closing soon: 10:00 pm,₱₱,,Delivery,Temporarily closed
Dimsum Break,3.9,(174),Dim Sum,"G/F North Arcade, Banilad Town Centre, Gov. M. Cuenco Ave",Closing soon: 10:00 pm,₱₱,,Delivery,
Kalaw Resto+bar,4.0,(7),Restaurant,Holy Family Rd,Open until 11:00 pm,,,,
Jackies BBQ,4.0,(5),Takeout Restaurant,Orel,Closing soon: 10:00 pm,,,Takeaway,
Siosai Tempura by Yasu Suzuki,3.8,(26),Tempura,Bonifacio District,Open until 11:00 pm,,,,
Arira Bulgogi Korean Restaurant,3.3,(45),Restaurant,Foodland Banilad-Talamban Flyover,Open until 11:00 pm,,,,
Leylam Deluxe,4.0,(74),Middle Eastern,"Ground Floor i1 building, Jose Ma, Jose Maria del Mar St",Open until 1:00 am,,,Breakfast Restaurants in Cebu to Start Your Day Right,
Axis Entertainment Avenue,4.3,(259),Restaurant,"Vibo Place, N Escario St",Open until 5:00 am,,,Takeaway,Temporarily closed
Shakey's Pizza Parlor,4.2,(490),Pizza,F. Cabahug St,Open until 12:00 am,₱₱,Casual pizza chain with a kids' fun zone,Delivery,
Cebu Sumibi Yakiniku Tajimaya,3.8,(43),Grill,"Crossroad, 25-26, Gov. M. Cuenco Ave",Closing soon: 10:00 pm,,,,
McDonald's,4.1,(480),Fast Food,Hernan Cortes St. Cor. A.S. Fortuna St.,Closing soon: 10:00 pm,₱,Iconic fast-food burger & fries chain,Delivery,
세부 밥집 bab rice house restaurant,3.9,(100),Seafood,"AGMD bldg PH, A. S. Fortuna St",Open until 12:00 am,,Chain eatery for Filipino fried chicken,Takeaway,
용궁리 김치마을 Yong Gung Ri Kimchi Maeul,4.2,(35),Korean,,Open until 5:00 am,,,Takeaway,
Dimsum Break - Drive Thru,3.0,(1),Chinese Takeout,,Open until 12:00 am,,,Takeaway,
Abaseria Deli & Cafe,4.5,(191),Restaurant,32 Pres. Quirino St,Opens at 9:00 am,₱₱,,Takeaway,Closed
Hamakaze Ramen,4.5,(238),Ramen,"AYS Building, A. S. Fortuna St",Opens at 11:00 am,,,,Closed
Soho Park | Cafe & Restaurant,4.2,(226),Restaurant,"Asia Premier Residences, Ground Floor, Abad St",Open until 4:00 am,₱₱,Modern cafe for global comfort cooking,Delivery · Takeaway,
Tymad Bistro,4.6,(226),French,Paseo Saturnino,Open until 4:00 am,₱₱,Casual-chic spot for Filipino plates,Takeaway,Closed today
Cherry’s The Spice,4.2,(341),Restaurant,Gov. M. Cuenco Ave,Opens at 10:00 am,₱₱,Refined lodging with a rooftop pool,"Where to find Vegetarian, Vegan and Jain food in Cebu, Philippines",Closed
Somac Korean Restaurant,4.4,(411),Korean,Pope John Paul II Ave,Opens at 10:00 am,₱₱,,Delivery · Takeaway,Closed
Crystal Palace Sze Chuan Chinese Restaurant,4.3,(919),Restaurant,6000,Closing soon: 10:00 pm,,,Delivery,Temporarily closed
East Ocean Seafood Restaurant,3.9,(174),Fast Food,J.Panis Street,Closing soon: 10:00 pm,,,Delivery,
Crazy Crab,3.9,(649),Seafood,"Gaisano Country Mall, Gov. M. Cuenco Ave",Opens at 11:00 am,₱₱,,,Closed
Diamond Tongs Restaurant,3.9,(367),Buffet,F. Cabahug St,Closing soon: 10:00 pm,,,Takeaway,
Chef's nest,3.8,(26),Restaurant,,Open until 11:00 pm,,,,
Lemon Grass Restaurant,4.1,(203),Asian,"ayala center cebu, Level 1, The Terraces",Open until 11:00 pm,,,,
Cebus Best,4.0,(74),Takeout Restaurant,Gov. M. Cuenco Ave,Open until 1:00 am,,,Takeaway,
Royal Krua Thai,3.7,(37),Thai,"G/F North Arcade, Banilad Town Center, Gov. M. Cuenco Ave",Open until 5:00 am,,,Takeaway,Temporarily closed
El Viento Restaurant and Pool Bar,4.4,(16),Restaurant,"GF, Marco Polo Plaza Cebu, Cebu Veterans Dr",Open until 12:00 am,,Casual pizza chain with a kids' fun zone,Delivery,
Tao Yuan Seafood Restaurant,4.1,(302),Chinese,"Second Level, JCentre Mall, 165 A. S. Fortuna St",Opens at 10:00 am,,,,Closed
Min Yue Restaurant,4.2,(14),Restaurant,,Opens at 9:30 am,,Iconic fast-food burger & fries chain,Delivery,Closed
Luis Grande,3.9,(100),Takeout Restaurant,"Luis Grande Building, Sitio Ibaan, J Panes St",Opens at 2:00 am,,Chain eatery for Filipino fried chicken,Takeaway,Closed
Party Rang Korean Restaurant,4.2,(35),Korean,,Open until 5:00 am,,,Takeaway,
Patrice Eatery,5.0,(1),Restaurant,J. Panis St,Opens at 5:00 am,,,Takeaway,Closed
Rusty's Chicken & Shrimp,3.5,(23),Restaurant,Gaisano Country Mall,Opens at 11:00 am,,,Takeaway,Closed
Japanese Restaurant Matsunoya,4.3,(195),Japanese,"PH, A. S. Fortuna St",Opens at 12:00 pm,₱₱,,,Closed
Mr. Griddle,4.2,(105),Hamburger,Banilad Rd,Opens at 11:00 am,₱₱,Modern cafe for global comfort cooking,Delivery · Takeaway,Closed
Max's Restaurant,4.0,(88),Filipino,,Open until 4:00 am,₱₱,Chain eatery for Filipino fried chicken,Takeaway,Closed today
Tsiboom Native Restaurant,4.2,(153),Restaurant,"Upper Ground Floor, Unit 187-191, J Centre Mall, 165 A. S. Fortuna St",Opens at 10:00 am,,Refined lodging with a rooftop pool,"Where to find Vegetarian, Vegan and Jain food in Cebu, Philippines",Closed
Fe Eatery,1.0,(1),Takeout Restaurant,Sitio Ibaan J. Panis St.,Opens at 5:00 am,,,Takeaway,Closed
Bucket Shrimps,4.3,(919),Restaurant,11 Orchid,Closing soon: 10:00 pm,,,Delivery,Temporarily closed
Antonio's Seafood Grill - Cebu,3.9,(174),Seafood,"Gaisano Country Mall, Mandaue City, Cebu",Closing soon: 10:00 pm,,,Delivery,
Burger King,4.2,(712),Fast Food,F. Cabahug St,Opens at 10:00 am,₱₱,Fast-food chain for grilled burgers,,Closed
Murray's New Orleans Restaurant,4.5,(10),Restaurant,"Ayala Mall, Cardinal Rosales Ave",Closing soon: 10:00 pm,,,Takeaway,
WR Kitchenette,4.0,(2),Restaurant,Gov. M. Cuenco Ave,Opens at 6:00 am,,,,Closed
Ding Qua Qua Dimsum House,4.1,(189),Fast Food,,Opens at 10:00 am,₱₱,,Delivery,Closed
Banana Leaf,3.9,(79),Restaurant,"GF, ayala center cebu, Bohol Ave",Open until 1:00 am,₱₱,,Takeaway,
Oceanarium Restaurant,3.5,(2),Restaurant,"Rainforest Park Cebu, Panagdait, Mabolo, Cebu City, Cebu",Open until 5:00 am,,,Takeaway,Temporarily closed
Oh Georg,4.4,(109),Restaurant,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Opens at 10:00 am,,Casual pizza chain with a kids' fun zone,10 Best Chocolate Cakes you can find in Cebu,Closed
Mhins Crispy Chicken,4.1,(302),Takeout Restaurant,Sitio Ibaan J. Panis St,Opens at 6:00 am,,,Takeaway,Closed
Hai Shin Lou Cantonese Restaurant,4.5,(89),Restaurant,,Opens at 9:30 am,,Iconic fast-food burger & fries chain,Delivery,Closed
Port Restaurant,3.7,(291),Filipino,"Waterfront Hotel & Casino, Salinas Dr",Opens at 10:00 am,₱₱,Chain eatery for Filipino fried chicken,Takeaway,Closed
Laguna Garden Café,4.2,(286),Filipino,"The Terraces, Ayala Center Cebu, Archbishop Reyes Ave",Open until 5:00 am,₱₱,,Takeaway,
Ikkousha Ramen Cebu,4.4,(311),Ramen,"JY Square IT Center, 1 Salinas Dr",Closing soon: 9:30 pm,₱₱,,Takeaway,Closed
Italianni's Restaurant,4.1,(232),Italian,"Ayala Mall, Archbishop Reyes Ave",Opens at 11:00 am,₱₱,,Takeaway,Closed
JB Countrymall,3.0,(1),Restaurant,,Opens at 12:00 pm,,,,Closed
Have Em All Food Cart Services,4.2,(105),Takeout Restaurant,"Gaisano Country Mall, Gov. M. Cuenco Ave",Opens at 8:00 am,,Modern cafe for global comfort cooking,Takeaway,Closed
Olio Restaurant Lounge,4.0,(88),Restaurant,Gov. M. Cuenco Ave,Open until 4:00 am,,Chain eatery for Filipino fried chicken,Takeaway,Closed today
Ruthy's Lechon,4.2,(44),Restaurant,Pres. Quirino St,Opens at 10:30 am,,Refined lodging with a rooftop pool,Cebu Food Trip: The Search for the Best Cebu Lechon,Closed
New Tung Yan Restaurant,1.0,(1),Fast Food,"A.S. Fortuna Street, Banilad",Opens at 5:00 am,,,Takeaway,Closed
Family Choice,3.2,(17),Restaurant,"Gaisano Country Mall, Gov. M. Cuenco Ave",Opens at 11:00 am,,,Delivery,Closed
Sio Mai Pao,3.9,(174),Takeout Restaurant,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closing soon: 10:00 pm,,,Takeaway,
