section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,GLOBAL__gm2-caption 3,e0HygkTYhQy__attribute,section-result-info,section-result-header-container,section-result-location
Westpoint Hotel,4.2,(61),2-star hotel,Informal lodging with dining & a pool,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱2,890",
Amethyst Boutique Hotel Cebu,4.6,(69),3-star hotel,Casual hotel with dining & event space,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
Harolds Hotel Cebu,4.4,"(1,194)",4-star hotel,Refined hotel with a rooftop bar/lounge,Spa,Free parking,Free Wi-Fi,·,Temporarily closed,,
Griffin Hotel and Suites,4.6,(69),Hotel,,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱1,430",
magabelle guesthouse - 2 Star,4.3,(38),Bed & breakfast,Unassuming lodging with a restaurant,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱1,161",
RedDoorz Plus near Talisay Town Center,3.3,(120),Apartment building,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020",
Cest La Vie Pension,3.5,(80),2-star hotel,Grand hotel with a casino & 24/7 dining,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱3,487",
Pensionne la Florentina,3.8,(62),2-star hotel,Casual lodging with dining & water views,Free Wi-Fi,,,·,Temporarily closed,,
OYO 170 The Eastern Szechwan Hotel,4.2,(59),Hotel,,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,,
GV Tower Hotel,3.5,(388),3-star hotel,,Free parking,Free Wi-Fi,,·,Temporarily closed,,
Hotel Pier Cuatro,3.7,(502),2-star hotel,Relaxed lodging with low-key dining,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱1,538",
Crowne Garden Hotel,3.7,(199),2-star hotel,Unassuming lodging with a restaurant,Free parking,Free Wi-Fi,,·,Temporarily closed,,
RedDoorz Plus @ Zapatera Cebu 2,5.0,(2),Apartment building,,,,,·,Temporarily closed,,
Citi Park Hotel,4.3,(215),3-star hotel,,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
HQ Hostel Cebu,5.0,(25),Hostel,Relaxed lodging with low-key dining,Spa,Free parking,Free Wi-Fi,·,Temporarily closed,"₱1,538",
Murals Sleepbox,4.4,(15),Hostel,Modest hotel with free breakfast,,,,·,Temporarily closed,"₱2,699",
Food District Hostel Cebu Central,4.2,(83),Hostel,Informal lodging with dining & a pool,,,,·,Temporarily closed,"₱2,890",
OYO 210 Apple Tree Suites,4.1,(123),2-star hotel,Modest hotel with a restaurant/bar,Free parking,Free Wi-Fi,,·,Temporarily closed,,
Studio units in Persimmon Residences by AMID,5.0,(2),Hotel,,,,,·,Temporarily closed,₱729,
Alicia Tower Residences,3.9,(228),2-star hotel,Laid-back hostel with a cafeteria,Free parking,Free Wi-Fi,Free breakfast,·,,,
ZEN Premium Banilad,4.0,(14),3-star hotel,Relaxed budget hotel with a gym,Spa,,,·,,,
Dragon Home Inn,3.8,(184),2-star hotel,,Free parking,Free Wi-Fi,,·,Temporarily closed,,
RedDoorz near UV Mandaue Cebu,3.9,(39),Hotel,Informal lodging with dining & a pool,Free Wi-Fi,,,·,Temporarily closed,"₱2,890",
OYO 495 The Pocket Hotel,4.6,(20),Hotel,Casual hotel with dining & event space,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
Hamersons Hotel - Best Affordable Hotel Near Fuente Osmeña Circle,4.0,(233),3-star hotel,Refined hotel with a rooftop bar/lounge,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱2,286",
The Beverly Boutique Business Hotel,4.1,(165),3-star hotel,,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱1,430",
